,year,state_code,state_name,municipal_code,municipal_name,asset_affected,crime_type,crime_subtype,modality,january,feburary,march,april,may,june,july,august,september,october,november,december,geo-id,population,total_crime
300,2018,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,6.0
301,2018,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,21206,1.0
304,2018,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,21206,1.0
305,2018,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,1,3,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0,21206,15.0
309,2018,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,21206,6.0
310,2018,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,2.0
314,2018,14,Jalisco,14001,Acatic,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
326,2018,14,Jalisco,14001,Acatic,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,0,0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21206,5.0
327,2018,14,Jalisco,14001,Acatic,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,21206,2.0
333,2018,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a casa habitación,Con violencia,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
334,2018,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a casa habitación,Sin violencia,1,2,0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0,21206,10.0
335,2018,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,3.0
336,2018,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,0,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,21206,8.0
338,2018,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,2,1,0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0,21206,15.0
343,2018,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21206,1.0
346,2018,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,2.0
358,2018,14,Jalisco,14001,Acatic,El patrimonio,Robo,Robo a negocio,Sin violencia,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,21206,3.0
367,2018,14,Jalisco,14001,Acatic,El patrimonio,Robo,Otros robos,Con violencia,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,21206,2.0
368,2018,14,Jalisco,14001,Acatic,El patrimonio,Robo,Otros robos,Sin violencia,0,2,2,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,0,21206,18.0
369,2018,14,Jalisco,14001,Acatic,El patrimonio,Fraude,Fraude,Fraude,0,2,0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0,21206,10.0
370,2018,14,Jalisco,14001,Acatic,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,21206,3.0
371,2018,14,Jalisco,14001,Acatic,El patrimonio,Extorsión,Extorsión,Extorsión,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
372,2018,14,Jalisco,14001,Acatic,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,4,4,3,2.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,0,21206,38.0
373,2018,14,Jalisco,14001,Acatic,El patrimonio,Despojo,Despojo,Despojo,1,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,21206,4.0
375,2018,14,Jalisco,14001,Acatic,La familia,Violencia familiar,Violencia familiar,Violencia familiar,2,1,0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,0,21206,16.0
378,2018,14,Jalisco,14001,Acatic,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,21206,2.0
382,2018,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0,21206,7.0
383,2018,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,2,6,0,1.0,2.0,4.0,2.0,3.0,4.0,0.0,2.0,2.0,0,21206,28.0
